fuel,conversion_factor,value,original_unit,final_unit
oil,million_tonnes_to_pj,41.666666666666664,million_tonnes,pj
oil,million_barrels_to_pj,6.097560975609756,million_barrels,pj
coal,million_tonnes_to_pj,15.037593984962406,million_tonnes,pj
lng,million_tonnes_per_annum_to_pj,50.0,million_tonnes_per_annum,pj
natural_gas,billion_cubic_meters_to_pj,35.714285714285715,billion_cubic_meters,pj
natural_gas,billion_cubic_feet_to_pj,1.019367991845056,billion_cubic_feet,pj
hydrogen,million_tonnes_to_pj,131.0,million_tonnes,pj
all,trillion_british_thermal_units_to_pj,1.0548523206751055,trillion_british_thermal_units,pj
all,terawatt_hour_to_pj,3.597122302158273,terawatt_hour,pj
all,gigacalorie_to_pj,4.184100418410042,gigacalorie,pj
hydrogen,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
hydrogen,mpg_to_km_per_pj,45709370.078984626,mpg,km/PJ
hydrogen,mpg_to_billion_km_per_pj,0.045709370078984624,mpg,billion km/PJ
hydrogen,fuel_energy_content_mj_kg,131.0,kg,MJ
hydrogen,density_kg_per_l,0.071,L,kg
hydrogen,km_per_kg_to_km_per_mj,0.04570937007898463,MJ,km
hydrogen,kt_to_pj,0.131,kt,PJ
hydrogen,km_per_liter_to_km_per_pj,3245365.275607908,km/L,km/PJ
hydrogen,km_per_liter_to_km_per_mj,0.003245365275607908,km/L,km/MJ
hydrogen,kgc02_per_l,0.0,L,kgC02
hydrogen,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
hydrogen,kgc02_per_mj,0.0,MJ,kgC02
hydrogen,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
methanol,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
methanol,mpg_to_km_per_pj,23677319.798428126,mpg,km/PJ
methanol,mpg_to_billion_km_per_pj,0.023677319798428124,mpg,billion km/PJ
methanol,fuel_energy_content_mj_kg,22.7,kg,MJ
methanol,density_kg_per_l,0.791,L,kg
methanol,km_per_kg_to_km_per_mj,0.023677319798428128,MJ,km
methanol,kt_to_pj,0.0227,kt,PJ
methanol,km_per_liter_to_km_per_pj,18728759.96055665,km/L,km/PJ
methanol,km_per_liter_to_km_per_mj,0.01872875996055665,km/L,km/MJ
methanol,kgc02_per_l,0.0,L,kgC02
methanol,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
methanol,kgc02_per_mj,0.0,MJ,kgC02
methanol,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
petrol,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
petrol,mpg_to_km_per_pj,12241372.044475552,mpg,km/PJ
petrol,mpg_to_billion_km_per_pj,0.012241372044475552,mpg,billion km/PJ
petrol,fuel_energy_content_mj_kg,46.0,kg,MJ
petrol,density_kg_per_l,0.755,L,kg
petrol,km_per_kg_to_km_per_mj,0.012241372044475552,MJ,km
petrol,kt_to_pj,0.046000000000000006,kt,PJ
petrol,km_per_liter_to_km_per_pj,9242235.893579042,km/L,km/PJ
petrol,km_per_liter_to_km_per_mj,0.009242235893579042,km/L,km/MJ
petrol,kgc02_per_l,2.40897699,L,kgC02
petrol,kgc02_per_kg_fuel,3.1906980000000003,kg fuel,kgC02
petrol,kgc02_per_mj,0.06936300000000001,MJ,kgC02
petrol,Megatonne c02 per PJ of fuel,0.069363,PJ,MTC02
diesel,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
diesel,mpg_to_km_per_pj,11108456.602859426,mpg,km/PJ
diesel,mpg_to_billion_km_per_pj,0.011108456602859427,mpg,billion km/PJ
diesel,fuel_energy_content_mj_kg,46.0,kg,MJ
diesel,density_kg_per_l,0.832,L,kg
diesel,km_per_kg_to_km_per_mj,0.011108456602859427,MJ,km
diesel,kt_to_pj,0.046000000000000006,kt,PJ
diesel,km_per_liter_to_km_per_pj,9242235.893579042,km/L,km/PJ
diesel,km_per_liter_to_km_per_mj,0.009242235893579042,km/L,km/MJ
diesel,kgc02_per_l,2.837256448,L,kgC02
diesel,kgc02_per_kg_fuel,3.4101640000000004,kg fuel,kgC02
diesel,kgc02_per_mj,0.074134,MJ,kgC02
diesel,Megatonne c02 per PJ of fuel,0.074134,PJ,MTC02
crude_oil,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
crude_oil,mpg_to_km_per_pj,11031210.459383393,mpg,km/PJ
crude_oil,mpg_to_billion_km_per_pj,0.011031210459383392,mpg,billion km/PJ
crude_oil,fuel_energy_content_mj_kg,47.0,kg,MJ
crude_oil,density_kg_per_l,0.82,L,kg
crude_oil,km_per_kg_to_km_per_mj,0.011031210459383394,MJ,km
crude_oil,kt_to_pj,0.04700000000000001,kt,PJ
crude_oil,km_per_liter_to_km_per_pj,9045592.57669438,km/L,km/PJ
crude_oil,km_per_liter_to_km_per_mj,0.009045592576694381,km/L,km/MJ
crude_oil,kgc02_per_l,2.828836,L,kgC02
crude_oil,kgc02_per_kg_fuel,3.4498,kg fuel,kgC02
crude_oil,kgc02_per_mj,0.0734,MJ,kgC02
crude_oil,Megatonne c02 per PJ of fuel,0.0734,PJ,MTC02
lpg,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
lpg,mpg_to_km_per_pj,16908994.595101457,mpg,km/PJ
lpg,mpg_to_billion_km_per_pj,0.016908994595101458,mpg,billion km/PJ
lpg,fuel_energy_content_mj_kg,51.0,kg,MJ
lpg,density_kg_per_l,0.493,L,kg
lpg,km_per_kg_to_km_per_mj,0.016908994595101458,MJ,km
lpg,kt_to_pj,0.051000000000000004,kt,PJ
lpg,km_per_liter_to_km_per_pj,8336134.335385019,km/L,km/PJ
lpg,km_per_liter_to_km_per_mj,0.008336134335385019,km/L,km/MJ
lpg,kgc02_per_l,1.587126732,L,kgC02
lpg,kgc02_per_kg_fuel,3.219324,kg fuel,kgC02
lpg,kgc02_per_mj,0.063124,MJ,kgC02
lpg,Megatonne c02 per PJ of fuel,0.063124,PJ,MTC02
natural_gas,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
natural_gas,mpg_to_km_per_pj,10306493.360112388,mpg,km/PJ
natural_gas,mpg_to_billion_km_per_pj,0.010306493360112388,mpg,billion km/PJ
natural_gas,fuel_energy_content_mj_kg,55.0,kg,MJ
natural_gas,density_kg_per_l,0.75,L,kg
natural_gas,km_per_kg_to_km_per_mj,0.010306493360112388,MJ,km
natural_gas,kt_to_pj,0.05500000000000001,kt,PJ
natural_gas,km_per_liter_to_km_per_pj,7729870.02008429,km/L,km/PJ
natural_gas,km_per_liter_to_km_per_mj,0.00772987002008429,km/L,km/MJ
natural_gas,kgc02_per_l,2.3162287500000005,L,kgC02
natural_gas,kgc02_per_kg_fuel,3.0883050000000005,kg fuel,kgC02
natural_gas,kgc02_per_mj,0.056151000000000006,MJ,kgC02
natural_gas,Megatonne c02 per PJ of fuel,0.056151,PJ,MTC02
ethanol,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
ethanol,mpg_to_km_per_pj,20105879.873665698,mpg,km/PJ
ethanol,mpg_to_billion_km_per_pj,0.0201058798736657,mpg,billion km/PJ
ethanol,fuel_energy_content_mj_kg,26.8,kg,MJ
ethanol,density_kg_per_l,0.789,L,kg
ethanol,km_per_kg_to_km_per_mj,0.0201058798736657,MJ,km
ethanol,kt_to_pj,0.026800000000000004,kt,PJ
ethanol,km_per_liter_to_km_per_pj,15863539.220322236,km/L,km/PJ
ethanol,km_per_liter_to_km_per_mj,0.015863539220322236,km/L,km/MJ
ethanol,kgc02_per_l,0.0,L,kgC02
ethanol,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
ethanol,kgc02_per_mj,0.0,MJ,kgC02
ethanol,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
biodiesel,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
biodiesel,mpg_to_km_per_pj,12713602.006717583,mpg,km/PJ
biodiesel,mpg_to_billion_km_per_pj,0.012713602006717584,mpg,billion km/PJ
biodiesel,fuel_energy_content_mj_kg,38.0,kg,MJ
biodiesel,density_kg_per_l,0.88,L,kg
biodiesel,km_per_kg_to_km_per_mj,0.012713602006717584,MJ,km
biodiesel,kt_to_pj,0.038000000000000006,kt,PJ
biodiesel,km_per_liter_to_km_per_pj,11187969.765911471,km/L,km/PJ
biodiesel,km_per_liter_to_km_per_mj,0.011187969765911472,km/L,km/MJ
biodiesel,kgc02_per_l,0.0,L,kgC02
biodiesel,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
biodiesel,kgc02_per_mj,0.0,MJ,kgC02
biodiesel,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
jet_fuel,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
jet_fuel,mpg_to_km_per_pj,12354781.324238501,mpg,km/PJ
jet_fuel,mpg_to_billion_km_per_pj,0.012354781324238501,mpg,billion km/PJ
jet_fuel,fuel_energy_content_mj_kg,42.8,kg,MJ
jet_fuel,density_kg_per_l,0.804,L,kg
jet_fuel,km_per_kg_to_km_per_mj,0.012354781324238503,MJ,km
jet_fuel,kt_to_pj,0.042800000000000005,kt,PJ
jet_fuel,km_per_liter_to_km_per_pj,9933244.184687756,km/L,km/PJ
jet_fuel,km_per_liter_to_km_per_mj,0.009933244184687757,km/L,km/MJ
jet_fuel,kgc02_per_l,2.462637528,L,kgC02
jet_fuel,kgc02_per_kg_fuel,3.062982,kg fuel,kgC02
jet_fuel,kgc02_per_mj,0.071565,MJ,kgC02
jet_fuel,Megatonne c02 per PJ of fuel,0.071565,PJ,MTC02
biojet,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
biojet,mpg_to_km_per_pj,12354781.324238501,mpg,km/PJ
biojet,mpg_to_billion_km_per_pj,0.012354781324238501,mpg,billion km/PJ
biojet,fuel_energy_content_mj_kg,42.8,kg,MJ
biojet,density_kg_per_l,0.804,L,kg
biojet,km_per_kg_to_km_per_mj,0.012354781324238503,MJ,km
biojet,kt_to_pj,0.042800000000000005,kt,PJ
biojet,km_per_liter_to_km_per_pj,9933244.184687756,km/L,km/PJ
biojet,km_per_liter_to_km_per_mj,0.009933244184687757,km/L,km/MJ
biojet,kgc02_per_l,0.0,L,kgC02
biojet,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
biojet,kgc02_per_mj,0.0,MJ,kgC02
biojet,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
